retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
24,35,0,0.62,0.4778761061946903,0,0
42,49,0,0.62,0.44680851063829785,0,0
25,53,0,0.62,0.40540540540540543,0,0
10,15,0,0.62,0.13978494623655913,0,0
23,33,0,0.62,0.32727272727272727,0,0
37,29,0,0.62,0.12295081967213115,0,0
36,32,0,0.62,0.17475728155339806,0,0
6,9,0,0.62,0.14634146341463414,0,0
7,9,0,0.62,0.13333333333333333,0,0
10,14,0,0.62,0.1388888888888889,0,0
10,22,0,0.62,0.3076923076923077,5,0
15,13,0,0.62,0.1717171717171717,0,0
2,44,0,0.62,0.08888888888888889,0,0
61,36,0,0.62,0.21839080459770116,0,0
48,0,0,0.62,0.10071942446043165,0,0
14,16,0,0.62,0.07857142857142857,0,0
12,12,0,0.62,0.08270676691729323,0,0
14,28,0,0.62,0.125,0,0
30,23,0,0.62,0.20270270270270271,0,0
88,76,0,0.62,0.09774436090225563,0,0
27,22,0,0.62,0.18,0,0
40,38,0,0.62,0.12871287128712872,0,0
15,30,0,0.62,0.16853932584269662,0,0
49,70,0,0.62,0.11363636363636363,0,0
28,19,0,0.62,0.11382113821138211,0,0
2,8,0,0.62,0.07476635514018691,0,0
24,31,0,0.62,0.13333333333333333,0,0
16,23,0,0.62,0.2786885245901639,0,0
29,43,0,0.62,0.20408163265306123,0,0
6,18,0,0.62,0.029411764705882353,0,0
11,42,0,0.62,0.0,0,0
55,47,0,0.62,0.13,0,0
56,24,0,0.62,0.11450381679389313,0,0
14,0,0,0.62,0.14942528735632185,0,0
15,15,0,0.62,0.13793103448275862,0,0
5595,0,0,0.62,0.043478260869565216,0,0
31,28,0,0.62,0.2077922077922078,0,0
9,27,0,0.62,0.08208955223880597,0,0
14,18,0,0.62,0.2,0,0
69,93,0,0.62,0.08196721311475409,0,0
14,9,0,0.62,0.19718309859154928,0,0
74,43,0,0.62,0.2545454545454545,1,0
13,0,0,0.62,0.15254237288135594,0,0
25,33,0,0.62,0.2413793103448276,0,0
47,37,0,0.62,0.22807017543859648,0,0
9,19,0,0.62,0.13402061855670103,0,0
13,14,0,0.62,0.1328125,0,0
36,65,0,0.62,0.1171875,0,0
4,12,0,0.62,0.16666666666666666,0,0
51,33,0,0.62,0.189873417721519,0,0
33,27,0,0.62,0.11304347826086956,0,0
22,22,0,0.62,0.14893617021276595,0,0
4,15,0,0.62,0.17204301075268819,0,0
16,14,0,0.62,0.15178571428571427,0,0
40,39,0,0.62,0.12173913043478261,0,0
73,61,0,0.62,0.1625,0,0
52,28,0,0.62,0.09848484848484848,0,0
25,17,0,0.62,0.24285714285714285,0,0
63,42,0,0.62,0.125,0,0
8,23,0,0.62,0.0,0,0
20,17,0,0.62,0.14150943396226415,0,0
33,23,0,0.62,0.17391304347826086,0,0
29,14,0,0.62,0.1875,0,0
45,27,0,0.62,0.17391304347826086,0,0
13,0,0,0.62,0.1,0,0
9,14,0,0.62,0.15315315315315314,0,0
40,38,0,0.62,0.0963855421686747,0,0
56,45,0,0.62,0.1875,0,0
17,28,0,0.62,0.12,0,0
24,35,0,0.62,0.1368421052631579,0,0
43,30,0,0.62,0.13513513513513514,0,0
26,27,0,0.62,0.1836734693877551,0,0
38,0,0,0.62,0.12790697674418605,0,0
79,0,0,0.62,0.0847457627118644,0,0
48,27,0,0.62,0.12631578947368421,0,0
59,41,0,0.62,0.11818181818181818,0,0
30,27,0,0.62,0.17525773195876287,0,0
32,32,0,0.62,0.2545454545454545,1,0
27,23,0,0.62,0.16494845360824742,0,0
15,20,0,0.62,0.1951219512195122,0,0
15,12,0,0.62,0.1485148514851485,0,0
24,27,0,0.62,0.12745098039215685,0,0
38,20,0,0.62,0.1134020618556701,0,0
35,18,0,0.62,0.1566265060240964,0,0
30,31,0,0.62,0.1388888888888889,0,0
14,15,0,0.62,0.125,0,0
52,35,0,0.62,0.13114754098360656,0,0
55,24,0,0.62,0.15789473684210525,0,0
75,20,0,0.62,0.208955223880597,0,0
58,57,0,0.62,0.20652173913043478,0,0
30,15,0,0.62,0.14423076923076922,0,0
18,0,0,0.62,0.13157894736842105,0,0
20,17,0,0.62,0.15,0,0
50,22,0,0.62,0.125,0,0
19,9,0,0.62,0.15151515151515152,0,0
23,19,0,0.62,0.14545454545454545,0,0
66,21,0,0.62,0.1485148514851485,0,0
26,25,0,0.62,0.1308411214953271,0,0
27,21,0,0.62,0.1797752808988764,0,0
14,0,0,0.62,0.06363636363636363,0,0
30,22,0,0.62,0.1346153846153846,0,0
29,17,0,0.62,0.11458333333333333,0,0
28,14,0,0.62,0.12173913043478261,0,0
56,26,0,0.62,0.1746031746031746,0,0
59,30,0,0.62,0.19148936170212766,0,0
