retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
15,18,0,0.43,0.044444444444444446,0,0
5,6,0,0.43,0.08163265306122448,0,0
24,40,0,0.43,0.03278688524590164,0,0
35,64,0,0.43,0.09090909090909091,0,0
28,53,0,0.43,0.04081632653061224,0,0
8,10,0,0.43,0.058823529411764705,0,0
11,13,0,0.43,0.018018018018018018,0,0
10,19,0,0.43,0.13333333333333333,0,0
38,56,0,0.43,0.015625,0,0
12,15,0,0.43,0.046511627906976744,0,0
19,39,0,0.43,0.05555555555555555,0,0
5,2,0,0.43,0.05263157894736842,0,0
5,12,0,0.43,0.02857142857142857,0,0
18,27,0,0.43,0.0847457627118644,0,0
26,31,0,0.43,0.04040404040404041,0,0
5,9,0,0.43,0.13333333333333333,0,0
12,13,0,0.43,0.06976744186046512,0,0
29,42,0,0.43,0.10638297872340426,0,0
11,12,0,0.43,0.03361344537815126,0,0
41,54,0,0.43,0.047619047619047616,0,0
20,28,0,0.43,0.07017543859649122,0,0
8,5,0,0.43,0.09375,0,0
11,8,0,0.43,0.07547169811320754,0,0
19,19,0,0.43,0.06,0,0
9,20,0,0.43,0.05660377358490566,0,0
14,19,0,0.43,0.078125,0,0
4,4,0,0.43,0.03636363636363636,0,0
50,69,0,0.43,0.08823529411764706,0,0
24,34,0,0.43,0.10256410256410256,0,0
7,18,0,0.43,0.047619047619047616,0,0
8,9,0,0.43,0.07142857142857142,0,0
19,33,0,0.43,0.06896551724137931,0,0
16,25,0,0.43,0.13157894736842105,0,0
10,16,0,0.43,0.125,0,0
9,17,0,0.43,0.125,0,0
37,41,0,0.43,0.08695652173913043,0,0
6,27,0,0.43,0.05555555555555555,0,0
68,77,0,0.43,0.05555555555555555,0,0
9,18,0,0.43,0.06896551724137931,0,0
22,32,0,0.43,0.01818181818181818,0,0
15,11,0,0.43,0.0196078431372549,0,0
20,13,0,0.43,0.034482758620689655,0,0
15,16,0,0.43,0.038461538461538464,0,0
8,4,0,0.43,0.1111111111111111,0,0
10,11,0,0.43,0.09090909090909091,0,0
12,23,0,0.43,0.0379746835443038,0,0
8,9,0,0.43,0.04878048780487805,0,0
6,19,0,0.43,0.03076923076923077,0,0
72,82,0,0.43,0.058823529411764705,0,0
10,9,0,0.43,0.06329113924050633,0,0
12,16,0,0.43,0.042735042735042736,0,0
8,19,0,0.43,0.06,0,0
6,13,0,0.43,0.05333333333333334,0,0
22,28,0,0.43,0.05128205128205128,0,0
25,40,0,0.43,0.03389830508474576,0,0
22,30,0,0.43,0.11428571428571428,0,0
15,32,0,0.43,0.07547169811320754,0,0
16,24,0,0.43,0.1111111111111111,0,0
6,15,0,0.43,0.05660377358490566,0,0
13,24,0,0.43,0.05,0,0
16,23,0,0.43,0.009174311926605505,0,0
19,25,0,0.43,0.06666666666666667,0,0
5,7,0,0.43,0.06896551724137931,0,0
8,12,0,0.43,0.05813953488372093,0,0
39,35,0,0.43,0.05,0,0
5,1,0,0.43,0.03571428571428571,0,0
4,10,0,0.43,0.03409090909090909,0,0
10,14,0,0.43,0.03225806451612903,0,0
7,12,0,0.43,0.046153846153846156,0,0
9,9,0,0.43,0.06557377049180328,0,0
12,22,0,0.43,0.01904761904761905,0,0
5,3,0,0.43,0.04081632653061224,0,0
9,20,0,0.43,0.046511627906976744,0,0
11,23,0,0.43,0.05970149253731343,0,0
5,4,0,0.43,0.08064516129032258,0,0
8,14,0,0.43,0.08045977011494253,0,0
13,10,0,0.43,0.05714285714285714,0,0
6,0,0,0.43,0.09859154929577464,1,0
8,10,0,0.43,0.05084745762711865,0,0
9,12,0,0.43,0.024390243902439025,0,0
14,22,0,0.43,0.11538461538461539,0,0
8,2,0,0.43,0.07352941176470588,0,0
29,0,0,0.43,0.07746478873239436,0,0
8,16,0,0.43,0.022988505747126436,0,0
21,27,0,0.43,0.03076923076923077,0,0
6,14,0,0.43,0.057971014492753624,0,0
24,23,0,0.43,0.0625,0,0
26,46,0,0.43,0.045871559633027525,0,0
20,30,0,0.43,0.07692307692307693,0,0
9,14,0,0.43,0.05333333333333334,0,0
17,13,0,0.43,0.07692307692307693,0,0
20,28,0,0.43,0.06422018348623854,0,0
15,32,0,0.43,0.09333333333333334,0,0
27,20,0,0.43,0.02702702702702703,0,0
10,18,0,0.43,0.015625,0,0
16,25,0,0.43,0.06666666666666667,0,0
10,11,0,0.43,0.04918032786885246,0,0
25,35,0,0.43,0.038461538461538464,0,0
5,14,0,0.43,0.03225806451612903,0,0
15,29,0,0.43,0.05660377358490566,0,0
14,19,0,0.43,0.14285714285714285,0,0
13,17,0,0.43,0.03076923076923077,0,0
36,61,0,0.43,0.023622047244094488,0,0
11,20,0,0.43,0.036585365853658534,0,0
35,0,0,0.43,0.12087912087912088,0,0
8,18,0,0.43,0.04878048780487805,0,0
7,8,0,0.43,0.075,0,0
18,30,0,0.43,0.0136986301369863,0,0
21,14,0,0.43,0.07272727272727272,0,0
